cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods
convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,woods
convex,smooth,white,yes,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods
convex,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,woods
convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods
convex,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,woods
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods
flat,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
flat,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,solitary,grasses
flat,smooth,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods
flat,fibrous,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
convex,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,woods
convex,scaly,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods
flat,scaly,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,woods
flat,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods
flat,smooth,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban
flat,fibrous,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods
convex,smooth,white,yes,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
convex,fibrous,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
flat,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,woods
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,woods
convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,woods
flat,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,woods
convex,fibrous,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods
convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods
convex,scaly,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
flat,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,gray,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,woods
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods
convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,woods
flat,scaly,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods
convex,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,woods
flat,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,woods
convex,smooth,pink,no,creosote,free,crowded,narrow,gray,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,woods
convex,scaly,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,scaly,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods
convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,scaly,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,woods
convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods
flat,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,woods
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods
flat,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,woods
flat,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses
convex,fibrous,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,paths
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods
convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods
flat,smooth,white,yes,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses
flat,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,woods
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,woods
convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,fibrous,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,woods
flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,scaly,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods
flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,solitary,woods
flat,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,woods
flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods
convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,woods
flat,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses
convex,scaly,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,woods
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,woods
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,woods
flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,woods
convex,smooth,pink,no,creosote,free,crowded,narrow,brown,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods
flat,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,woods
flat,smooth,brown,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,woods
flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,woods
convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,woods
convex,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,woods
convex,scaly,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods
flat,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods
convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,woods
convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods
convex,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods
flat,fibrous,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,woods
flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods
convex,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,woods
